iter	Passed	Remaining
659	21648	43952
660	21680	43919
661	21712	43884
662	21746	43854
663	21780	43822
664	21813	43791
665	21846	43757
666	21878	43723
667	21920	43710
668	21954	43678
669	21987	43647
670	22020	43614
671	22055	43586
672	22088	43552
673	22119	43517
674	22152	43484
675	22185	43452
676	22218	43419
677	22251	43386
678	22285	43355
679	22318	43325
680	22351	43292
681	22383	43257
682	22416	43223
683	22447	43189
684	22482	43160
685	22515	43127
686	22549	43096
687	22582	43064
688	22615	43030
689	22648	42998
690	22680	42965
691	22713	42933
692	22746	42899
693	22778	42865
694	22809	42829
695	22844	42800
696	22877	42768
697	22909	42733
698	22939	42696
699	22972	42663
700	23004	42629
701	23038	42598
702	23071	42565
703	23105	42535
704	23138	42502
705	23173	42473
706	23205	42440
707	23239	42408
708	23274	42380
709	23320	42371
710	23352	42336
711	23383	42300
712	23418	42270
713	23449	42236
714	23481	42200
715	23513	42166
716	23548	42138
717	23581	42106
718	23615	42074
719	23651	42046
720	23683	42013
721	23715	41978
722	23749	41947
723	23784	41919
724	23818	41888
725	23851	41855
726	23885	41824
727	23918	41791
728	23950	41757
729	23981	41721
730	24014	41689
731	24045	41652
732	24077	41617
733	24110	41585
734	24143	41553
735	24178	41523
736	24212	41492
737	24244	41458
738	24277	41426
739	24309	41392
740	24340	41356
741	24371	41320
742	24403	41286
743	24435	41250
744	24468	41219
745	24501	41185
746	24532	41150
747	24565	41117
748	24597	41083
749	24630	41050
750	24664	41019
751	24697	40986
752	24730	40954
753	24762	40921
754	24795	40887
755	24828	40855
756	24862	40823
757	24898	40796
758	24931	40764
759	24962	40728
760	24995	40695
761	25028	40663
762	25059	40627
763	25099	40606
764	25133	40574
765	25166	40542
766	25201	40513
767	25232	40477
768	25266	40445
769	25298	40412
770	25331	40378
771	25362	40343
772	25397	40314
773	25429	40280
774	25461	40245
775	25492	40210
776	25524	40175
777	25556	40140
778	25589	40109
779	25623	40077
780	25657	40046
781	25688	40011
782	25720	39976
783	25754	39945
784	25787	39913
785	25820	39880
786	25853	39847
787	25886	39814
788	25918	39780
789	25950	39747
790	25982	39712
791	26015	39680
792	26048	39647
793	26080	39613
794	26112	39579
795	26146	39548
796	26179	39516
797	26211	39481
798	26247	39453
799	26280	39421
800	26312	39387
801	26343	39350
802	26377	39320
803	26408	39284
804	26440	39250
805	26474	39218
806	26505	39183
807	26538	39151
808	26572	39120
809	26604	39086
810	26637	39052
811	26671	39022
812	26705	38990
813	26741	38962
814	26774	38929
815	26807	38896
816	26839	38862
817	26872	38830
818	26904	38796
819	26937	38764
820	26969	38729
821	27004	38699
822	27036	38665
